,Battery_Type,Original_Time_to_Full_Charge,Max_Temp_During_Charging,Rate_of_Charge,Rate_of_Discharge,Correction_Factor,Battery_Life,Replacement_Needed,Current_Total_Charging_Time
0,Lithium-ion,102.31263104043468,30.9594052831386,1.1714051469770732,0.995438571722514,1.1467467584219442,7.854099085948349,False,117.32667799123885
1,Nickel-cadmium,139.5214210749714,39.18467527901581,0.9232051408263184,1.0371955551564978,0.8165551244829523,6.624417763335905,False,113.92693135391168
2,Lithium-ion,133.42890409334896,39.63860555363072,1.076699045055955,0.9556039990960508,0.9592216076680868,4.153374660488009,True,127.98788789381317
3,Nickel-cadmium,140.62446099589485,31.844526625019213,0.8973992748374218,1.0418203348653117,1.1441879543025733,3.6315315018494436,True,160.90081435179493
4,Nickel-cadmium,100.01682518108248,32.511771249229184,0.9540373557730562,0.8314271949532448,0.9783419075329868,10.675593706617423,False,97.8506515330535
5,Nickel-metal hydride,90.4706296532097,32.182130153066,1.0003583205954583,1.0117474987987969,0.833848307501601,14.68490580811401,False,75.43878141493306
6,Lithium-ion,110.09915519798875,37.33236887104148,1.0326375089726991,0.9965047977612266,0.9836450092906862,7.15099985886666,False,108.29848453762234
7,Nickel-metal hydride,122.63728429944042,43.00820293080359,1.1483128627973813,0.795360686375189,1.0928863730749243,0.8744426431556764,True,134.0286168417738
8,Lithium-ion,127.48035412364742,28.463864724571753,0.9949917358535465,0.8190309807268512,0.9265567896736108,10.988896431877167,False,118.1177876632618
9,Lithium-ion,135.7195823395208,42.50399219672637,0.9156384393464073,0.8140476394373073,1.1626123674285618,0.0,True,157.7892649301659
10,Lithium-ion,124.26419506210821,25.55306313010685,1.065004197305077,1.0414306833923952,1.1763185604220023,7.770677720295707,False,146.17427904745801
11,Nickel-metal hydride,146.14003170983446,38.206771919564446,0.9635830191084244,1.0123959626871661,0.8671062323257565,5.440486222719201,True,126.71893228788113
12,Nickel-cadmium,116.66091478577519,33.288777463793885,1.0238681570931836,1.027395757717404,0.8373545752651496,11.442428284222547,False,97.68655075048659
13,Nickel-metal hydride,106.30381172937305,40.825631044649874,0.9883777560462248,0.8673621507491839,0.9197427213386895,7.061948877963967,False,97.77215708864927
14,Nickel-metal hydride,94.78172676758349,39.42396225861806,0.8056543148713178,1.1138973810666266,0.9876170589316893,7.557505015298834,False,93.60805023066777
15,Lithium-ion,106.66542962856825,34.60215614290368,1.0508299185593972,1.098284121981739,0.8628056287181687,11.276266391327962,False,92.03153307317041
16,Nickel-cadmium,123.63176941477684,37.877280734451936,1.0583368006821299,0.9233036964976672,0.8966273252380623,7.265636186535101,False,110.85162272482025
17,Nickel-cadmium,106.66919613969554,35.0354626139989,1.0926604768308605,1.1176060276453796,1.173319501312841,4.848959052774174,True,125.1570480200692
18,Nickel-cadmium,134.05113695302884,41.23036941243767,1.1800462762460229,0.974907760321884,1.0859520085979835,0.7606614265186131,True,145.57310142898504
19,Nickel-cadmium,141.18491559056164,34.52167971936464,0.8804896226536524,0.8223794975989969,1.0391783978545328,4.337100624170859,True,146.7163143846273
20,Lithium-ion,84.45619642160096,35.463119799841515,1.051650744428176,0.8367305233849107,1.0831822868883405,8.659174720152336,False,91.48145598184061
21,Nickel-cadmium,132.96078450746472,30.01041172834357,1.0409294996640956,1.0733723487855005,0.8010903476037994,12.176908733005755,False,106.51360107875878
22,Lithium-ion,86.40593912007395,37.10086033620945,0.9580918007192178,0.989595118933102,0.8582085467827518,12.144804984232843,False,74.1543154456376
23,Lithium-ion,126.02248582635431,31.0580961733967,1.0397106236449778,1.0881224946453931,1.0767000897332837,6.834701536000546,False,135.68842179764715
24,Nickel-cadmium,138.3730584629049,36.54568029085964,1.0499646955111965,0.9911626875267586,1.0859873991668427,2.6701060249428332,True,150.2713978748916
25,Nickel-metal hydride,120.97284159515364,28.393562311481396,0.8781316170022803,1.0267670893360779,1.1411891686792903,7.382151311158131,False,138.05289653274485
26,Lithium-ion,100.80466240193641,28.189381846823174,1.0246222761276431,1.2123526422980173,1.0342200913904844,11.640441008585084,False,104.2542071619176
27,Nickel-metal hydride,111.21853193583341,33.34059482383987,0.9082015693995384,1.13968490876314,1.0229000175863976,8.249849042768771,False,113.76543827309732
28,Lithium-ion,116.07531831433649,33.53639030221082,0.9348143500069409,0.9567172731389589,0.9590550956313,8.943171104834942,False,111.32262550638957
29,Nickel-cadmium,117.26632824315085,30.36218529825078,0.822525518481135,1.0374968724703126,1.1266224321722083,7.0598258831153595,False,132.11487593720312
30,Nickel-cadmium,116.9565473885,27.6319370073338,0.9526639074497522,1.049444544306179,1.140809220859953,8.172192340284042,False,133.42510770074486
31,Nickel-metal hydride,118.3517583103603,25.784210784277942,0.9796429328526524,1.0761391167496106,0.9806371852293287,12.159975072238424,False,116.06013513641354
32,Lithium-ion,123.20220073365253,25.504636545756323,1.054985686729639,1.0071008805188029,0.9502371446426241,12.422718760904104,False,117.07130743883339
33,Nickel-cadmium,101.87139519400168,30.431005800129512,1.0000899926671107,0.9506468149504964,0.8201620369253335,14.694116842028407,False,83.55105098673805
34,Nickel-cadmium,116.3697025519467,34.237068843238745,0.8457711849200321,0.9996377182763498,1.11683063041544,5.4078827148771555,True,129.96524826234787
35,Nickel-cadmium,142.77391755533557,39.52486562612254,1.0862148056884267,0.9519712890521624,1.069222820013241,1.0757190311403528,True,152.65713075285387
36,Lithium-ion,114.23031865286224,34.49743401428018,0.9881413376449908,1.1683367281239794,0.9756807882887106,8.314635361799475,False,111.45232734969524
37,Nickel-metal hydride,113.34245860267204,43.081016388705635,1.0488370590429656,1.1240726238835324,1.0018741493656167,3.5877629580676444,True,113.55487929955967
38,Lithium-ion,136.17295955571356,25.70439609150814,1.09659361184597,0.9796384981120612,1.1584209005987405,6.862087986699764,False,157.74560244572555
39,Nickel-metal hydride,81.61223000483855,28.613212430812688,1.1422604748969034,1.0428292260693812,1.1510696307363373,11.010778169383055,False,93.94135945523854
40,Nickel-metal hydride,137.72067901932428,31.770289855402854,1.1961226989365015,0.9834540735764311,0.8716334073626268,9.410119023113609,False,120.04194471790825
41,Lithium-ion,110.52144362992249,36.54992376130245,0.9927761241328332,1.1193241135968213,1.139603797077111,4.380817814814308,True,125.95065681910354
42,Nickel-metal hydride,122.4589285867888,42.05472315787885,1.0311124446093654,1.1048880516417992,1.0038955773468976,3.148834015443744,True,122.93597681491684
43,Lithium-ion,121.44482033881795,32.00403903913153,0.892163890918322,1.0568610832710887,0.842447179611872,11.504554854315002,False,102.31084637290769
44,Lithium-ion,134.1370217883059,30.3597736500884,1.1061600170035262,1.0871264269614527,0.9245934875247056,9.414541245631098,False,124.02221678142718
45,Lithium-ion,115.98607880646979,26.237783376857916,0.8815112555428231,1.0660570808041578,1.074778295992207,10.286934511079924,False,124.65932013843543
46,Nickel-cadmium,109.82961327653325,41.42606955396208,0.8194748311369578,1.11740618538083,1.157373564160967,1.6565326121462949,True,127.11389096828195
47,Nickel-cadmium,139.46768685976647,32.59332886413358,1.083038600534039,1.05311313733292,0.8433398937851437,9.389769006253687,False,117.61866422277514
48,Nickel-metal hydride,84.5373927428823,36.43100390833869,0.9478303475052184,1.0151900529114524,1.0438612794430306,8.953533182681813,False,88.2453109493631
49,Lithium-ion,120.30501272557865,44.67110836342441,1.077760728134224,0.9422774376400762,1.0712515703431373,0.7089131388671834,True,128.87693380242726
50,Lithium-ion,99.7811186605632,25.03189141208589,1.0408074649346168,0.8428249262506817,0.9104708025110643,15.796526377679449,False,90.8477951823347
51,Nickel-cadmium,108.57639917615161,27.90900281397732,0.8369997348976291,0.9972151619493288,1.1026562384076595,9.634733907242989,False,119.72244389542384
52,Lithium-ion,150.16885022194705,40.58221988038711,0.7280320635677385,0.9258944466595871,0.8413313255235408,4.3653785271409244,True,126.34175780957679
53,Nickel-cadmium,119.33106860316215,41.10254970415676,0.8903398252907281,1.0060009066957123,0.8958707552162956,6.0982031832794945,False,106.90521455028245
54,Nickel-metal hydride,122.92604545727072,40.384942380655104,1.0016491486980865,1.114048842418709,0.8001963855200174,8.010996553545029,False,98.36497726117737
55,Nickel-metal hydride,93.27655716441613,35.73997782085659,0.8778223665305228,1.0172824675440353,1.0010951667204555,9.280452038720982,False,93.37871054562126
56,Lithium-ion,109.06433011807957,44.577139620461125,0.9347238550651287,0.9584998328890376,0.9053743820786835,5.197509536387811,True,98.74405048748184
57,Nickel-cadmium,122.94836101093178,32.923691199906415,0.8541059269402674,0.9146871375138359,0.8312269889999494,11.118778518954626,False,102.19799592559559
58,Nickel-cadmium,125.32136539669827,37.038873962262244,1.0169877959796925,0.8569864792576067,1.152352581431545,2.4013748505681525,True,144.41439892341114
59,Nickel-cadmium,129.25329831589917,26.267380090976967,1.0090825927036324,1.1332805335357488,0.8794659939342291,12.851660244237017,False,113.67388047266968
60,Nickel-cadmium,120.12941848376364,33.19714899814677,0.9518607375952367,0.822330898107075,1.026927915430447,7.349925343941311,False,123.3642533054032
61,Nickel-metal hydride,127.9050631268199,39.45000175019844,1.1397065301313742,0.9065216973768939,0.9085861721079977,5.812769370058836,True,116.2127716996291
62,Nickel-metal hydride,126.80672868953526,29.774776815413986,1.1497715027319564,0.7686798066302933,1.03899983026446,8.151942118050279,False,131.75216958481857
63,Nickel-metal hydride,92.55389383493203,43.876551781462965,1.056526720253645,0.9683858424250283,1.0617186534791556,4.071961656192203,True,98.26619553667675
